Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
MAKAR,Makar Jitumaya Suri Hydropower Limited,"7,600,000",100.00,"760,000,000.00"
SMJC,Sagarmatha Jalabidhyut Company Limited,"11,200,000",100.00,"1,120,000,000.00"
MKHL,Mai Khola Hydropower Limited,"3,921,568",100.00,"392,156,800.00"
CKHL,Chirkhwa Hydropower Limited,"4,000,000",100.00,"400,000,000.00"
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,"10,000,000",100.00,"1,000,000,000.00"
DOLTI,Dolti Power Company Limited,"5,364,860",100.00,"536,486,000.00"
BHL,Balephi Hydropower Limited,"18,279,700",100.00,"1,827,970,000.00"
GVL,Green Ventures Limited,"3,125,000",100.00,"3,124,999,936.00"
MSHL,Mid-Solu Hydropower Limited,"7,484,000",100.00,"748,400,000.00"
RIDI,Ridi Power Company Limited,"15,489,012",100.00,"1,548,901,200.00"
MEHL,Manakamana Engineering Hydropower Limited,"8,000,000",100.00,"800,000,000.00"
IHL,Ingwa Hydropower Limited,"6,000,000",100.00,"600,000,000.00"
SMHL,Super Madi Hydropower Limited,"21,000,000",100.00,"2,100,000,000.00"
MCHL,Menchhiyam Hydropower Limited,"5,425,833",100.00,"542,583,300.00"
SANVI,Sanvi Energy Limited,"8,800,000",100.00,"880,000,000.00"
RAWA,Rawa Energy Development Limited,"2,800,000",100.00,"280,000,000.00"
ULHC,Upper Lohore Khola Hydropower Company Limited,"5,098,040",100.00,"509,804,000.00"
BGWT,Bhagawati Hydropower Development Company Ltd.,"5,720,647",100.00,"572,064,700.00"
MANDU,Mandu Hydropower Ltd.,"13,636,370",100.00,"1,363,637,000.00"
VLUCL,Vision Lumbini Urja Company Limited,"19,125,000",100.00,"1,912,500,000.00"
