Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
NTC,Nepal Doorsanchar Comapany Limited,"180,000,000",100.00,"17,999,998,976.00"
NRIC,Nepal Re-Insurance Company Limited,"122,325,000",100.00,"12,232,500,224.00"
HRL,Himalayan Reinsurance Limited,"100,000,000",100.00,"10,000,000,000.00"
MKCL,Muktinath Krishi Company Limited,"7,000,000",100.00,"700,000,000.00"
TTL,Trade Tower Limited,"8,156,097",100.00,"815,609,700.00"
NRM,Nepal Republic Media Limited,"9,650,000",100.00,"965,000,000.00"
PURE,Pure Energy Ltd.,"8,000,000",100.00,"800,000,000.00"
NWCL,Nepal Warehousing Company Limited,"6,875,000",100.00,"687,500,000.00"
