Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
CIT,Citizen Investment Trust,"42,510,003",100.00,"4,251,000,576.00"
HATHY,Hathway Investment Nepal Limited,"23,400,000",50.00,"1,170,000,000.00"
HIDCL,Hydorelectricity Investment and Development Company Ltd,"246,708,000",100.00,"24,670,799,872.00"
NIFRA,Nepal Infrastructure Bank Limited,"216,000,000",100.00,"21,600,000,000.00"
ENL,Emerging Nepal Limited,"555,600",100.00,"55,560,000.00"
NRN,NRN Infrastructure and Development Limited,"12,232,117",100.00,"1,223,211,648.00"
CHDC,CEDB Holdings Limited,0,100.00,0.00
