Symbol,Company Name,Listed Shares,Paidup Value,Total Paidup
OHL,Oriental Hotels Limited,"11,280,905",100.00,"1,128,090,500.00"
SHL,Soaltee Hotel Limited,"88,471,506",10.00,"8,847,150,600.00"
TRH,Taragaon Regency Hotel Limited,"18,866,540",100.00,"1,886,654,000.00"
CGH,Chandragiri Hills Limited,"15,340,910",100.00,"1,534,091,000.00"
KDL,Kalinchowk Darshan Limited,"6,000,000",100.00,"600,000,000.00"
CITY,City Hotel Limited,"16,740,000",100.00,"1,674,000,000.00"
